"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"113","1624 Fordem Ave",2016-08-03,135.4978,853,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2016,43.09335,-89.36364,c(-89.36364, 43.09335)
"114","1766 Fordem Ave",2015-08-12,163.5874,949,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,"y",2015,43.095047,-89.363495,c(-89.363495, 43.095047)
"115","1624 Fordem Ave",2015-08-12,131.9866,841,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2015,43.09335,-89.36364,c(-89.36364, 43.09335)
"116","1614 Fordem Ave",2009-07-22,366,1700,NA,"Yahara River","1614 Fordem Ave Madison, WI","outdoor",NA,NA,2009,43.093784,-89.36364,c(-89.36364, 43.093784)
"117","1624 Fordem Ave",2013-07-11,98.3376,726,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2013,43.09335,-89.36364,c(-89.36364, 43.09335)
"118","1614 Fordem Ave",2010-06-11,155.3946,921,NA,"Yahara River","1614 Fordem Ave Madison, WI","outdoor",NA,"y",2010,43.093784,-89.36364,c(-89.36364, 43.093784)
"119","1624 Fordem Ave",2012-06-14,134,971,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,NA,2012,43.09335,-89.36364,c(-89.36364, 43.09335)
"120","1766 Fordem Ave",2016-08-03,154.5168,918,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,"y",2016,43.095047,-89.363495,c(-89.363495, 43.095047)
"121","1624 Fordem Ave",2011-06-27,151.5908,908,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2011,43.09335,-89.36364,c(-89.36364, 43.09335)
"122","1818 Fordem Ave",2008-07-07,118.6,804,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,NA,2008,43.096344,-89.36353,c(-89.36353, 43.096344)
"123","1624 Fordem Ave",2010-06-11,124.379,815,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2010,43.09335,-89.36364,c(-89.36364, 43.09335)
"124","1614 Fordem Ave",2011-06-27,147.2018,893,NA,"Yahara River","1614 Fordem Ave Madison, WI","outdoor",NA,"y",2011,43.093784,-89.36364,c(-89.36364, 43.093784)
"125","1624 Fordem Ave",2008-07-07,148.9,839,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,NA,2008,43.09335,-89.36364,c(-89.36364, 43.09335)
"126","1080 N Pleasant View Rd",2015-08-27,902,3330,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2015,43.110325,-89.351265,c(-89.351265, 43.110325)
"127","1080 N Pleasant View Rd",2014-08-07,954,3470,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2014,43.110325,-89.351265,c(-89.351265, 43.110325)
"128","2502 Independence Ln",2009-07-22,167.0986,961,NA,"Starkweather Creek","2502 Independence Ln Madison, WI","outdoor",NA,"y",2009,43.131386,-89.30802,c(-89.30802, 43.131386)
"129","2502 Independence Ln",2010-06-10,198.992,1070,NA,"Starkweather Creek","2502 Independence Ln Madison, WI","outdoor",NA,"y",2010,43.131386,-89.30802,c(-89.30802, 43.131386)
"130","2502 Independence Ln",2011-06-27,207.77,1100,NA,"Starkweather Creek","2502 Independence Ln Madison, WI","outdoor",NA,"y",2011,43.131386,-89.30802,c(-89.30802, 43.131386)
"131","2502 Independence Ln",2012-08-01,272.142,1320,NA,"Starkweather Creek","2502 Independence Ln Madison, WI","outdoor",NA,"y",2012,43.131386,-89.30802,c(-89.30802, 43.131386)
"132","1 N Yellowstone Dr w",2009-07-02,385,1960,NA,"Spring Harbor","1 N Yellowstone Dr w Madison, WI","outdoor",NA,NA,2009,43.0648,-89.49341,c(-89.49341, 43.0648)
"133","1 N Yellowstone Dr d",2010-07-12,455,2180,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2010,43.064796,-89.49341,c(-89.49341, 43.064796)
"134","1 N Yellowstone Dr m",2010-07-12,451,2190,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2010,43.064796,-89.49341,c(-89.49341, 43.064796)
"135","1 N Yellowstone Dr w",2010-07-12,458,2180,NA,"Spring Harbor","1 N Yellowstone Dr w Madison, WI","outdoor",NA,NA,2010,43.0648,-89.49341,c(-89.49341, 43.0648)
"136","1080 N Pleasant View Rd",2018-08-28,994,3480,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2018,43.110325,-89.351265,c(-89.351265, 43.110325)
"137","1080 N Pleasant View Rd",2011-07-05,1030,3610,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2011,43.110325,-89.351265,c(-89.351265, 43.110325)
"138","1080 N Pleasant View Rd",2017-08-02,1270,4510,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2017,43.110325,-89.351265,c(-89.351265, 43.110325)
"139","2601 Old Camden Sq",2014-07-09,133.4496,846,NA,"Starkweather Creek","2601 Old Camden Sq Madison, WI","outdoor",NA,"y",2014,43.132824,-89.28698,c(-89.28698, 43.132824)
"140","2601 Old Camden Sq",2013-07-24,155.6872,922,NA,"Starkweather Creek","2601 Old Camden Sq Madison, WI","outdoor",NA,"y",2013,43.132824,-89.28698,c(-89.28698, 43.132824)
